date_raw,text,date,title,sentiment,confidence
2023-05-18,Unique flavor and great energy boost. It's the perfect gamer's drink!,2023-05-18,Unique flavor and great energy boost. It's the...,POSITIVE,0.9998904466629028
2023-05-17,Good flavor and keeps me energized. The bottle design is really fun.,2023-05-17,Good flavor and keeps me energized. The bottle...,POSITIVE,0.999889612197876
2023-05-16,Excellent energy drink for gamers. The tropical flavor is refreshing.,2023-05-16,Excellent energy drink for gamers. The tropical flavor...,POSITIVE,0.9998767375946045
2023-05-15,"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",2023-05-15,"It’s fun, tastes good, and the energy boost...",POSITIVE,0.999864935874939
2023-05-15,"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",2023-05-15,The best sneakers I've bought in a long...,POSITIVE,0.9998451471328735
2023-05-12,The cherry cola flavor is a win. Keeps me energized and focused.,2023-05-12,The cherry cola flavor is a win. Keeps...,POSITIVE,0.9998745918273926
2023-05-10,These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,2023-05-10,These shoes are a hit with my twins....,POSITIVE,0.9998632669448853
2023-05-01,Excellent boots for outdoor adventures. They offer great support and are very comfortable.,2023-05-01,Excellent boots for outdoor adventures. They offer great...,POSITIVE,0.9998654127120972
2023-05-01,"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",2023-05-01,"Nice design and good quality, but a bit...",POSITIVE,0.9984560012817383
2023-04-25,Really enjoyed the citrus flavor and the energy boost it gives.,2023-04-25,Really enjoyed the citrus flavor and the energy...,POSITIVE,0.9998840093612671
2023-04-25,"Great concept, but the sizing is a bit off. Order a size larger.",2023-04-25,"Great concept, but the sizing is a bit...",NEGATIVE,0.9941918253898621
2023-04-18,"Delicious chocolates, and the box is pretty substantial. It'd make a nice gift.",2023-04-18,"Delicious chocolates, and the box is pretty substantial....",POSITIVE,0.9998902082443237
2023-04-12,"The boots are durable, but the laces could be better quality.",2023-04-12,"The boots are durable, but the laces could...",POSITIVE,0.8142092227935791
2023-04-11,This potion is a game changer. Love the energy boost and the flavor.,2023-04-11,This potion is a game changer. Love the...,POSITIVE,0.9998190999031067
2023-04-10,"Light, comfortable, and nice design. I'm buying another pair.",2023-04-10,"Light, comfortable, and nice design. I'm buying another...",POSITIVE,0.9998525381088257
2023-04-10,Highly recommend! These shoes are great for evening walks. Kids love them!,2023-04-10,Highly recommend! These shoes are great for evening...,POSITIVE,0.9998764991760254
